,value
rr_min,400.0
rr_mean,770.921052631579
rr_max,3085.0
rr_range,2685.0
longest_rr_pause,3085.0
SDNN,414.8998852975794
RMSSD,444.236362701148
pNN50,75.67567567567568
pvc_count,3.0
pvc_burden_pct,7.894736842105263
pvc_couplets,0.0
n_rpeaks,39.0
beats_per_min,78.0
signal_mean,-0.0159085933119058
signal_std,0.1321319788694381
signal_var,0.0174588598310947
signal_rms,0.1330862343311309
signal_range,2.7256014347076416
signal_skew,-4.93886852313663
signal_kurtosis,59.61612748466703
zero_crossings,980.0
hr_mean,82.45263905337583
hr_std,20.040386133354865
hr_min,19.90049751243781
hr_max,151.89873417721518
hr_range,131.99823666477738
hr_slope,-0.0057761283705266
ecg_quality_mean,0.848851363341712
ecg_quality_std,0.1987277822637623
ecg_quality_low_frac,0.2188333333333333
HRV_MeanNN,770.921052631579
HRV_SDNN,420.4692604748502
HRV_SDANN1,
HRV_SDNNI1,
HRV_SDANN2,
HRV_SDNNI2,
HRV_SDANN5,
HRV_SDNNI5,
HRV_RMSSD,444.236362701148
HRV_SDSD,445.7373181109663
HRV_CVNN,0.5454115684602938
HRV_CVSD,0.5762410576085893
HRV_MedianNN,677.5
HRV_MadNN,111.195
HRV_MCVNN,0.1641254612546125
HRV_IQRNN,146.25
HRV_SDRMSSD,0.9464989716695328
HRV_Prc20NN,602.0
HRV_Prc80NN,803.0
HRV_pNN50,73.68421052631578
HRV_pNN20,86.8421052631579
HRV_MinNN,400.0
HRV_MaxNN,3085.0
HRV_HTI,19.0
HRV_TINN,203.125
HRV_ULF,
HRV_VLF,
HRV_LF,
HRV_HF,0.0506063460313226
HRV_VHF,0.005251448353158
HRV_TP,0.0558577943844806
HRV_LFHF,
HRV_LFn,
HRV_HFn,0.9059853971853736
HRV_LnHF,-2.983678294913814
HRV_SD1,315.18388026416955
HRV_SD2,333.56236501043
HRV_SD1SD2,0.9449024030463216
HRV_S,330286.57002936123
HRV_CSI,1.0583103575311548
HRV_CVI,6.225861024916543
HRV_CSI_Modified,1412.050023092503
HRV_PIP,0.6052631578947368
HRV_IALS,0.6486486486486486
HRV_PSS,0.875
HRV_PAS,0.1
HRV_GI,64.3643031784841
HRV_SI,56.36464257389453
HRV_AI,76.77354808977269
HRV_PI,48.64864864864865
HRV_C1d,0.8629755676682461
HRV_C1a,0.1370244323317537
HRV_SD1d,295.83392018721133
HRV_SD1a,117.8820620601606
HRV_C2d,0.8502282718497828
HRV_C2a,0.1497717281502172
HRV_SD2d,307.5705968616158
HRV_SD2a,129.0898109749208
HRV_Cd,0.856306730461893
HRV_Ca,0.1436932695381069
HRV_SDNNd,301.7593249488273
HRV_SDNNa,123.6130249065533
HRV_DFA_alpha1,0.6704181574539261
HRV_MFDFA_alpha1_Width,0.9295432755448338
HRV_MFDFA_alpha1_Peak,0.8618726005367503
HRV_MFDFA_alpha1_Mean,0.8049643824818826
HRV_MFDFA_alpha1_Max,0.3154174451838134
HRV_MFDFA_alpha1_Delta,0.0864521787253522
HRV_MFDFA_alpha1_Asymmetry,-0.5612216983889341
HRV_MFDFA_alpha1_Fluctuation,0.0001624761417422
HRV_MFDFA_alpha1_Increment,0.0470578681236397
HRV_ApEn,0.4853516944474649
HRV_SampEn,0.8924800831804366
HRV_ShanEn,5.195295934496217
HRV_FuzzyEn,0.8042536911754726
HRV_MSEn,0.472752228322891
HRV_CMSEn,0.4542861859263007
HRV_RCMSEn,0.4660851665523506
HRV_CD,1.4295428293234826
HRV_HFD,1.964904891383732
HRV_KFD,1.5276929850464855
HRV_LZC,0.8286201337016187
patient_id,779.0
window_idx,1179.0
start_idx,7074000.0
duration_sec,30.0
HRV_DFA_alpha2,
